Transect,Adults,Juveniles,Total,Survey_no ,Date,Start_time,temp ,Ground_Temp (C),Ambient_Temp (C),RH (%),Precip_dly_same_day_Yorktown_US1VAYR0008,Precip_dly_same_day_NEWPORT NEWS_US1VAYR0003_in,Precip,detection_prob
4,3,12,15,4,6/23/16,22:58,22.8,24.4,22.8,94,0,NR,0,0.9036403
4,6,1,7,5,7/13/16,22:10,26.2,26.8,26.2,92.1,0,0,0,0.8168138
4,1,0,1,6,7/26/16,21:35,26,25.1,26,93,0,0,0,0.7357865
4,0,0,0,7,8/25/16,21:15,25.4,25.4,25.4,84.1,0,0,0,0.5093255
4,0,0,0,8,9/16/16,20:46,22.2,22.7,22.2,80.3,NR,0,0,0.3177531
5,0,23,23,1,5/11/16,23:58,17,18.3,17,94.6,NR,0,0,0.9673276
5,1,15,16,2,5/29/16,22:12,23.3,23.1,23.3,33.4,NR,0,0,0.9457432
5,0,11,11,3,6/13/16,23:44,20.6,20.3,20.6,79.4,NR,0,0,0.9085617
5,2,16,18,4,6/22/16,21:45,24.5,24,24.5,80.7,NR,0,0,0.9008411
5,2,24,26,5,7/14/16,21:47,26.1,25.5,26.1,96.7,0,0,0,0.8071995
5,0,25,25,6,7/24/16,23:24,28.1,27.9,28.1,94.2,0,0,0,0.7615234
5,0,3,3,7,8/25/16,22:04,24.8,24.6,24.8,92.7,0,0,0,0.5045082
5,1,1,2,8,9/16/16,21:36,21.7,21.4,21.7,84.4,0,0,0,0.3112807
6,15,26,41,1,5/10/16,22:05,16.2,17.5,16.2,91.2,0,0,0,0.9725932
6,8,44,52,2,6/7/16,21:30,21.5,21.8,21.5,84.1,0,0,0,0.9315737
6,18,19,37,3,6/18/16,21:27,19.5,21.6,19.5,70.5,0,0,0,0.9166013
6,9,23,32,4,6/26/16,21:44,21.7,22.3,21.7,84.9,0,0,0,0.873497
6,15,8,23,5,7/11/16,21:38,27,25.8,27,88,0,0,0,0.8226991
6,4,1,5,6,7/25/16,22:33,30.3,29.9,30.3,78.7,0,0,0,0.7622781
6,0,0,0,7,8/26/16,21:12,26.5,26.1,26.5,86,0,0,0,0.5062053
6,0,0,0,8,9/16/16,23:05,20.6,21.4,20.6,90.2,0,0,0,0.3117936
7,0,1,1,1,5/8/16,23:34,,,,,0,0,0,0.9573735
7,1,1,2,2,5/24/16,23:30,18.8,19.2,18.8,89.1,0,0,0,0.9558324
7,0,0,0,3,6/12/16,22:48,25.9,23.6,25.9,61.6,0,0,0,0.9185005
7,0,0,0,4,6/23/16,21:53,23.6,24.5,23.6,86,0,0,0,0.9035872
7,0,0,0,5,7/14/16,23:50,27.3,27.2,27.3,91.9,0,0,0,0.8132596
7,0,0,0,6,8/22/16,23:15,27.1,21.9,27.1,87.5,0,0,0,0.5096835
7,0,0,0,7,9/1/16,22:00,24.4,25.9,24.4,87.8,0,0,0,0.4554723
7,0,0,0,8,9/16/16,22:14,22.1,21.7,22.1,84.6,0,0,0,0.3128268
